Y\X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PRS CORNER,iodiff_40_n_q4,,iodiff_39_n_q4,,iodiff_37_n_q4,,iodiff_35_n_q4,,iodiff_33_n_q4,,iodiff_31_n_q4,,iodiff_29_n_q4,,iodiff_27_n_q4,,iodiff_25_n_q4,,iodiff_23_n_q4,,iodiff_21_n_q4,,iodiff_19_n_q4,,iodiff_19_n_q2,,iodiff_21_n_q2,,iodiff_23_n_q2,,iodiff_25_n_q2,,iodiff_27_n_q2,,iodiff_29_n_q2,,iodiff_31_n_q2,,iodiff_33_n_q2,,iodiff_35_n_q2,,iodiff_37_n_q2,,iodiff_39_n_q2,,iodiff_40_n_q2,PRS CORNER
,,,,,,,,BT0 DQ2 8 51,,BT0 DQ4 10 51,,dll_ibias_main 12 51,,BT1 DQ2 14 51,,BT1 DQ4 16 51,,RX_VREF 18 51,,CA DQ2 20 51,,CA DQ4 22 51,,VDD_PRE 24 51,,vss,,rxdata0_q2,,vss,,vss,,rxdata15_q2,,vss,,txdata12_q2,,txdata3_q2,,vss,,vss,,,,,
49,iodiff_41_n_q4,,vss,,iodiff_38_n_q4,,iodiff_36_n_q4,,iodiff_34_n_q4,,iodiff_32_n_q4,,iodiff_30_n_q4,,iodiff_28_n_q4,,iodiff_26_n_q4,,iodiff_24_n_q4,,iodiff_22_n_q4,,iodiff_20_n_q4,,,,iodiff_20_n_q2,,iodiff_22_n_q2,,iodiff_24_n_q2,,iodiff_26_n_q2,,iodiff_28_n_q2,,iodiff_30_n_q2,,iodiff_32_n_q2,,iodiff_34_n_q2,,iodiff_36_n_q2,,iodiff_38_n_q2,,vss,,iodiff_41_n_q2
,,,,,,,BT0 DQ0 7 50,,BT0 DQS_C 9 50,,BT0 DQ6 11 50,,BT1 DQ0 13 50,,BT1 DQS_C 15 50,,BT1 DQ6 17 50,,CA DQ0 19 50,,CA CKC 21 50,,VDD_PRE 23 50,,,,rxsbd_q2,,rxdata2_q2,,rxvld_q2,,rxdata14_q2,,vss,,txdata13_q2,,txtrk_q2,,txdata1_q2,,txsbc_q2,,,,,,
48,,iodiff_40_p_q4,,iodiff_39_p_q4,,iodiff_37_p_q4,,iodiff_35_p_q4,,iodiff_33_p_q4,,iodiff_31_p_q4,,iodiff_29_p_q4,,iodiff_27_p_q4,,iodiff_25_p_q4,,iodiff_23_p_q4,,iodiff_21_p_q4,,iodiff_19_p_q4,,iodiff_19_p_q2,,iodiff_21_p_q2,,iodiff_23_p_q2,,iodiff_25_p_q2,,iodiff_27_p_q2,,iodiff_29_p_q2,,iodiff_31_p_q2,,iodiff_33_p_q2,,iodiff_35_p_q2,,iodiff_37_p_q2,,iodiff_39_p_q2,,iodiff_40_p_q2,
,,,,,,,,BT0 DQ3 8 49,,BT0 DQ5 10 49,,dll_vinit 12 49,,BT1 DQ3 14 49,,BT1 DQ5 16 49,,BUF_BANK_IBIAS 18 49,,CA DQ3 20 49,,CA DQ5 22 49,,VDD_PRE 24 49,,vss,,vss,,rxdata3_q2,,rxdata12_q2,,vss,,txdata15_q2,,vss,,vss,,txdata0_q2,,vss,,,,,
47,iodiff_41_p_q4,,vss,,iodiff_38_p_q4,,iodiff_36_p_q4,,iodiff_34_p_q4,,iodiff_32_p_q4,,iodiff_30_p_q4,,iodiff_28_p_q4,,iodiff_26_p_q4,,iodiff_24_p_q4,,iodiff_22_p_q4,,iodiff_20_p_q4,,,,iodiff_20_p_q2,,iodiff_22_p_q2,,iodiff_24_p_q2,,iodiff_26_p_q2,,iodiff_28_p_q2,,iodiff_30_p_q2,,iodiff_32_p_q2,,iodiff_34_p_q2,,iodiff_36_p_q2,,iodiff_38_p_q2,,vss,,iodiff_41_p_q2
,,,,,,,BT0 DQ1 7 48,,BT0 DQS_T 9 48,,BT0 DQ7 11 48,,BT1 DQ1 13 48,,BT1 DQS_T 15 48,,BT1 DQ7 17 48,,CA DQ1 19 48,,CA CKT 21 48,,CA CS 23 48,,,,rxsbc_q2,,rxdata1_q2,,rxtrk_q2,,rxdata13_q2,,vss,,txdata14_q2,,txvld_q2,,txdata2_q2,,txsbd_q2,,,,,,
46,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,vddh_q4,,vss,,vddh_q4,,vddh_q4,,vddh_q4,,vddh_q4,,vddh_q4,,vddh_q4,,vddh_q4,,vddh_q4,,vddh_q4,,vddh_q4,,,,vddh_q2,,vddh_q2,,vddh_q2,,vddh_q2,,vddh_q2,,vddh_q2,,vddh_q2,,vddh_q2,,vddh_q2,,vddh_q2,,vss,,vddh_q2
,VDDQ,,,,VDDQ,,VDDQ,,VDDQ,,VDDQ,,VDDQ,,VDDQ,,VDDQ,,VDDQ,,VDDQ,,VDDQ,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,vss,,vss,,vddv_q4,,iodiff_17_n_q4,,iodiff_15_n_q4,,iodiff_13_n_q4,,iodiff_11_n_q4,,iodiff_9_n_q4,,iodiff_7_n_q4,,iodiff_5_n_q4,,iodiff_3_n_q4,,iodiff_1_n_q4,,iodiff_1_n_q2,,iodiff_3_n_q2,,iodiff_5_n_q2,,iodiff_7_n_q2,,iodiff_9_n_q2,,iodiff_11_n_q2,,iodiff_13_n_q2,,iodiff_15_n_q2,,iodiff_17_n_q2,,vddv_q2,,vss,,vss,
,,,,,,,,VDD_PRE 8 45,,VDD_PRE 10 45,,VDD_PRE 12 45,,VDD_PRE,,VDD_PRE,,VDD_PRE,,VDD_PRE,,VDD_PRE,,,,vss,,rxdata4_q2,,vss,,vss,,rxdata11_q2,,vss,,txdata8_q2,,txdata7_q2,,vss,,,,,,,
43,hsdiff_18_n_q4,,vss,,hsdiff_9_n_q4,,iodiff_18_n_q4,,iodiff_16_n_q4,,iodiff_14_n_q4,,iodiff_12_n_q4,,iodiff_10_n_q4,,iodiff_8_n_q4,,iodiff_6_n_q4,,iodiff_4_n_q4,,iodiff_2_n_q4,,,,iodiff_2_n_q2,,iodiff_4_n_q2,,iodiff_6_n_q2,,iodiff_8_n_q2,,iodiff_10_n_q2,,iodiff_12_n_q2,,iodiff_14_n_q2,,iodiff_16_n_q2,,iodiff_18_n_q2,,hsdiff_9_n_q2,,vss,,hsdiff_18_n_q2
,,,,,,,VDD_PRE 7 44,,VDD_PRE 9 44,,VDD_PRE 11 44,,VDD_PRE 13 44,,VDD_PRE,,VDD_PRE,,VDD_PRE,,VDD_PRE,,VDD_PRE 23 44,,,,vss,,rxdata6_q2,,rxckn_q2,,rxdata10_q2,,vddh_q2,,txdata9_q2,,txckp_q2,,txdata5_q2,,vss,,,,,,
42,,hsdiff_18_p_q4,,hsdiff_9_p_q4,,vddv_q4,,iodiff_17_p_q4,,iodiff_15_p_q4,,iodiff_13_p_q4,,iodiff_11_p_q4,,iodiff_9_p_q4,,iodiff_7_p_q4,,iodiff_5_p_q4,,iodiff_3_p_q4,,iodiff_1_p_q4,,iodiff_1_p_q2,,iodiff_3_p_q2,,iodiff_5_p_q2,,iodiff_7_p_q2,,iodiff_9_p_q2,,iodiff_11_p_q2,,iodiff_13_p_q2,,iodiff_15_p_q2,,iodiff_17_p_q2,,vddv_q2,,hsdiff_9_p_q2,,hsdiff_18_p_q2,
,,,,,,,,VDD_PRE 8 43,,VDD_PRE 10 43,,VDD_PRE 12 43,,VDD_PRE ,,VDD_PRE,,VDD_PRE,,VDD_PRE,,VDD_PRE,,,,vss,,vss,,rxdata7_q2,,rxdata8_q2,,vss,,txdata11_q2,,vss,,vss,,txdata4_q2,,,,,,,
41,hsdiff_17_n_q4,,vss,,hsdiff_8_n_q4,,iodiff_18_p_q4,,iodiff_16_p_q4,,iodiff_14_p_q4,,iodiff_12_p_q4,,iodiff_10_p_q4,,iodiff_8_p_q4,,iodiff_6_p_q4,,iodiff_4_p_q4,,iodiff_2_p_q4,,,,iodiff_2_p_q2,,iodiff_4_p_q2,,iodiff_6_p_q2,,iodiff_8_p_q2,,iodiff_10_p_q2,,iodiff_12_p_q2,,iodiff_14_p_q2,,iodiff_16_p_q2,,iodiff_18_p_q2,,hsdiff_8_n_q2,,vss,,hsdiff_17_n_q2
,clock_q4,,,,,,VDD_PRE 7 42,,VDD_PRE 9 42,,VDD_PRE 11 42,,VDD_PRE 13 42,,VDD_PRE,,VDD_PRE,,VDD_PRE,,VDD_PRE,,VDD_PRE 23 42,,,,vss,,rxdata5_q2,,rxckp_q2,,rxdata9_q2,,vddh_q2,,txdata10_q2,,txckn_q2,,txdata6_q2,,vss,,,,,,clock_q2
40,,hsdiff_17_p_q4,,hsdiff_8_p_q4,,vddv_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vddv_q2,,hsdiff_8_p_q2,,hsdiff_17_p_q2,
,,reset_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reset_q2,
39,hsdiff_16_n_q4,,vss,,hsdiff_8_n_q4,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,hsdiff_8_n_q2,,vss,,hsdiff_16_n_q2
,pll_ref_clk_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pll_ref_clk_q2
38,,hsdiff_16_p_q4,,hsdiff_8_p_q4,,vddv_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vddv_q2,,hsdiff_8_p_q2,,hsdiff_16_p_q2,
,,serial_tl_clk_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serial_tl_clk_q2,
37,hsdiff_15_n_q4,,vss,,hsdiff_7_n_q4,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,hsdiff_7_n_q2,,vss,,hsdiff_15_n_q2
,serial_tl_in_vld_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serial_tl_in_vld_q2
36,,hsdiff_15_p_q4,,hsdiff_7_p_q4,,vddv_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vddv_q2,,hsdiff_7_p_q2,,hsdiff_15_p_q2,
,,serial_tl_in_rdy_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serial_tl_in_rdy_q2,
35,hsdiff_14_n_q4,,vss,,hsdiff_6_n_q4,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,hsdiff_6_n_q2,,vss,,hsdiff_14_n_q2
,serial_tl_in_data_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serial_tl_in_data_q2
34,,hsdiff_14_p_q4,,hsdiff_6_p_q4,,vddv_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vddv_q2,,hsdiff_6_p_q2,,hsdiff_14_p_q2,
,,serial_tl_out_vld_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serial_tl_out_vld_q2,
33,hsdiff_13_n_q4,,vss,,hsdiff_4_n_q4,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,hsdiff_4_n_q2,,vss,,hsdiff_13_n_q2
,serial_tl_out_rdy_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serial_tl_out_rdy_q2
32,,hsdiff_13_p_q4,,hsdiff_4_p_q4,,vddv_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vddv_q2,,hsdiff_4_p_q2,,hsdiff_13_p_q2,
,,serial_tl_out_data_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,serial_tl_out_data_q2,
31,hsdiff_12_n_q4,,vss,,hsdiff_3_n_q4,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,hsdiff_3_n_q2,,vss,,hsdiff_12_n_q2
,uart_tx_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uart_tx_q2
30,,hsdiff_12_p_q4,,hsdiff_3_p_q4,,vddv_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vddv_q2,,hsdiff_3_p_q2,,hsdiff_12_p_q2,
,,uart_rx_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uart_rx_q2,
29,hsdiff_11_n_q4,,vss,,hsdiff_2_n_q4,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,hsdiff_2_n_q2,,vss,,hsdiff_11_n_q2
,jtag_tck_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jtag_tck_q2
28,,hsdiff_11_p_q4,,hsdiff_2_p_q4,,vddv_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q4,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vdd_q2,,vddv_q2,,hsdiff_2_p_q2,,hsdiff_11_p_q2,
,,jtag_tdi_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jtag_tdi_q2,
27,hsdiff_10_n_q4,,vss,,hsdiff_1_n_q4,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,hsdiff_1_n_q2,,vss,,hsdiff_10_n_q2
,jtag_tdo_q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jtag_tdo_q2
